UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA,,,,,,,,,
TO,17,17503,Pium,"7,564",,,,,,,,,
TO,17,17800,Ponte Alta do Bom Jesus,"4,601",,,,,,,,,
TO,17,17909,Ponte Alta do Tocantins,"7,961",,,,,,,,,
TO,17,18006,Porto Alegre do Tocantins,"3,108",,,,,,,,,
TO,17,18204,Porto Nacional,"52,700",,,,,,,,,
TO,17,18303,Praia Norte,"8,365",,,,,,,,,
TO,17,18402,Presidente Kennedy,"3,692",,,,,,,,,
TO,17,18451,Pugmil,"2,659",,,,,,,,,
TO,17,18501,Recursolândia,"4,244",,,,,,,,,
TO,17,18550,Riachinho,"4,604",,,,,,,,,
TO,17,18659,Rio da Conceição,"2,088",,,,,,,,,
TO,17,18709,Rio dos Bois,"2,811",,,,,,,,,
TO,17,18758,Rio Sono,"6,468",,,,,,,,,
TO,17,18808,Sampaio,"4,627",,,,,,,,,
TO,17,18840,Sandolândia,"3,378",,,,,,,,,
TO,17,18865,Santa Fé do Araguaia,"7,426",,,,,,,,,
TO,17,18881,Santa Maria do Tocantins,"3,381",,,,,,,,,
TO,17,18899,Santa Rita do Tocantins,"2,344",,,,,,,,,
TO,17,18907,Santa Rosa do Tocantins,"4,811",,,,,,,,,
TO,17,19004,Santa Tereza do Tocantins,"2,834",,,,,,,,,
TO,17,20002,Santa Terezinha do Tocantins,"2,528",,,,,,,,,
TO,17,20101,São Bento do Tocantins,"5,256",,,,,,,,,
TO,17,20150,São Félix do Tocantins,"1,572",,,,,,,,,
TO,17,20200,São Miguel do Tocantins,"11,967",,,,,,,,,
TO,17,20259,São Salvador do Tocantins,"3,070",,,,,,,,,
TO,17,20309,São Sebastião do Tocantins,"4,757",,,,,,,,,
TO,17,20499,São Valério,"4,017",,,,,,,,,
TO,17,20655,Silvanópolis,"5,378",,,,,,,,,
TO,17,20804,Sítio Novo do Tocantins,"9,078",,,,,,,,,
TO,17,20853,Sucupira,"1,946",,,,,,,,,
TO,17,20903,Taguatinga,"16,538",,,,,,,,,
TO,17,20937,Taipas do Tocantins,"2,131",,,,,,,,,
TO,17,20978,Talismã,"2,773",,,,,,,,,
TO,17,21000,Palmas,"291,855",,,,,,,,,
TO,17,21109,Tocantínia,"7,471",,,,,,,,,
TO,17,21208,Tocantinópolis,"22,896",,,,,,,,,
TO,17,21257,Tupirama,"1,860",,,,,,,,,
TO,17,21307,Tupiratins,"2,613",,,,,,,,,
TO,17,22081,Wanderlândia,"11,631",,,,,,,,,
TO,17,22107,Xambioá,"11,561",,,,,,,,,
MA,21,00055,Açailândia,"111,757",,,,,,,,,
MA,21,00105,Afonso Cunha,"6,469",,,,,,,,,
MA,21,00154,Água Doce do Maranhão,"12,488",,,,,,,,,
