UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA,,,,,,
TO,17,00400,Almas,"6,979",,,,,,
TO,17,00707,Alvorada,"8,396",,,,,,
TO,17,01002,Ananás,"9,492",,,,,,
TO,17,01051,Angico,"3,454",,,,,,
TO,17,01101,Aparecida do Rio Negro,"4,848",,,,,,
TO,17,01309,Aragominas,"5,731",,,,,,
TO,17,01903,Araguacema,"7,155",,,,,,
TO,17,02000,Araguaçu,"8,467",,,,,,
TO,17,02109,Araguaína,"183,381",,,,,,
TO,17,02158,Araguanã,"5,793",,,,,,
TO,17,02208,Araguatins,"36,170",,,,,,
TO,17,02307,Arapoema,"6,616",,,,,,
TO,17,02406,Arraias,"10,534",,,,,,
TO,17,02554,Augustinópolis,"18,643",,,,,,
TO,17,02703,Aurora do Tocantins,"3,783",,,,,,
TO,17,02901,Axixá do Tocantins,"9,787",,,,,,
TO,17,03008,Babaçulândia,"10,666",,,,,,
TO,17,03057,Bandeirantes do Tocantins,"3,592",,,,,,
TO,17,03073,Barra do Ouro,"4,632",,,,,,
TO,17,03107,Barrolândia,"5,651",,,,,,
TO,17,03206,Bernardo Sayão,"4,448",,,,,,
TO,17,03305,Bom Jesus do Tocantins,"5,008",,,,,,
TO,17,03602,Brasilândia do Tocantins,"2,211",,,,,,
TO,17,03701,Brejinho de Nazaré,"5,519",,,,,,
TO,17,03800,Buriti do Tocantins,"11,497",,,,,,
TO,17,03826,Cachoeirinha,"2,284",,,,,,
TO,17,03842,Campos Lindos,"10,312",,,,,,
TO,17,03867,Cariri do Tocantins,"4,441",,,,,,
TO,17,03883,Carmolândia,"2,603",,,,,,
TO,17,03891,Carrasco Bonito,"4,130",,,,,,
TO,17,03909,Caseara,"5,442",,,,,,
TO,17,04105,Centenário,"2,936",,,,,,
TO,17,04600,Chapada de Areia,"1,410",,,,,,
TO,17,05102,Chapada da Natividade,"3,331",,,,,,
TO,17,05508,Colinas do Tocantins,"35,851",,,,,,
TO,17,05557,Combinado,"4,861",,,,,,
TO,17,05607,Conceição do Tocantins,"4,087",,,,,,
TO,17,06001,Couto Magalhães,"5,639",,,,,,
TO,17,06100,Cristalândia,"7,278",,,,,,
TO,17,06258,Crixás do Tocantins,"1,735",,,,,,
TO,17,06506,Darcinópolis,"6,174",,,,,,
TO,17,07009,Dianópolis,"22,424",,,,,,
TO,17,07108,Divinópolis do Tocantins,"6,943",,,,,,
TO,17,07207,Dois Irmãos do Tocantins,"7,185",,,,,,
TO,17,07306,Dueré,"4,686",,,,,,
TO,17,07405,Esperantina,"11,139",,,,,,
TO,17,07553,Fátima,"3,830",,,,,,
TO,17,07652,Figueirópolis,"5,243",,,,,,
TO,17,07702,Filadélfia,"8,874",,,,,,
TO,17,08205,Formoso do Araguaia,"18,399",,,,,,
TO,17,08254,Tabocão,"2,602",,,,,,
TO,17,08304,Goianorte,"5,130",,,,,,
TO,17,09005,Goiatins,"13,095",,,,,,
TO,17,09302,Guaraí,"26,165",,,,,,
TO,17,09500,Gurupi,"87,545",,,,,,
TO,17,09807,Ipueiras,"2,052",,,,,,
TO,17,10508,Itacajá,"7,452",,,,,,
TO,17,10706,Itaguatins,"5,832",,,,,,
TO,17,10904,Itapiratins,"3,795",,,,,,
TO,17,11100,Itaporã do Tocantins,"2,420",,,,,,
TO,17,11506,Jaú do Tocantins,"3,878",,,,,,
TO,17,11803,Juarina,"2,184",,,,,,
TO,17,11902,Lagoa da Confusão,"13,676",,,,,,
TO,17,11951,Lagoa do Tocantins,"4,393",,,,,,
TO,17,12009,Lajeado,"3,167",,,,,,
TO,17,12157,Lavandeira,"1,954",,,,,,
TO,17,12405,Lizarda,"3,733",,,,,,
TO,17,12454,Luzinópolis,"3,154",,,,,,
TO,17,12504,Marianópolis do Tocantins,"5,254",,,,,,
TO,17,12702,Mateiros,"2,729",,,,,,
TO,17,12801,Maurilândia do Tocantins,"3,448",,,,,,
TO,17,13205,Miracema do Tocantins,"17,936",,,,,,
TO,17,13304,Miranorte,"13,493",,,,,,
TO,17,13601,Monte do Carmo,"8,066",,,,,,
TO,17,13700,Monte Santo do Tocantins,"2,295",,,,,,
TO,17,13809,Palmeiras do Tocantins,"6,745",,,,,,
TO,17,13957,Muricilândia,"3,587",,,,,,
TO,17,14203,Natividade,"9,250",,,,,,
TO,17,14302,Nazaré,"3,834",,,,,,
TO,17,14880,Nova Olinda,"11,917",,,,,,
TO,17,15002,Nova Rosalândia,"4,304",,,,,,
TO,17,15101,Novo Acordo,"4,397",,,,,,
TO,17,15150,Novo Alegre,"2,332",,,,,,
TO,17,15259,Novo Jardim,"2,745",,,,,,
TO,17,15507,Oliveira de Fátima,"1,118",,,,,,
TO,17,15705,Palmeirante,"6,131",,,,,,
TO,17,15754,Palmeirópolis,"7,676",,,,,,
TO,17,16109,Paraíso do Tocantins,"51,891",,,,,,
TO,17,16208,Paranã,"10,437",,,,,,
TO,17,16307,Pau D'Arco,"4,867",,,,,,
TO,17,16505,Pedro Afonso,"13,773",,,,,,
TO,17,16604,Peixe,"11,873",,,,,,
TO,17,16653,Pequizeiro,"5,512",,,,,,
TO,17,16703,Colméia,"8,141",,,,,,
TO,17,17008,Pindorama do Tocantins,"4,430",,,,,,
TO,17,17206,Piraquê,"3,033",,,,,,
TO,17,17503,Pium,"7,743",,,,,,
TO,17,17800,Ponte Alta do Bom Jesus,"4,591",,,,,,
TO,17,17909,Ponte Alta do Tocantins,"8,116",,,,,,
TO,17,18006,Porto Alegre do Tocantins,"3,170",,,,,,
TO,17,18204,Porto Nacional,"53,316",,,,,,
TO,17,18303,Praia Norte,"8,498",,,,,,
TO,17,18402,Presidente Kennedy,"3,676",,,,,,
TO,17,18451,Pugmil,"2,717",,,,,,
TO,17,18501,Recursolândia,"4,342",,,,,,
TO,17,18550,Riachinho,"4,684",,,,,,
TO,17,18659,Rio da Conceição,"2,171",,,,,,
TO,17,18709,Rio dos Bois,"2,856",,,,,,
TO,17,18758,Rio Sono,"6,488",,,,,,
TO,17,18808,Sampaio,"4,794",,,,,,
TO,17,18840,Sandolândia,"3,373",,,,,,
TO,17,18865,Santa Fé do Araguaia,"7,595",,,,,,
TO,17,18881,Santa Maria do Tocantins,"3,486",,,,,,
TO,17,18899,Santa Rita do Tocantins,"2,386",,,,,,
TO,17,18907,Santa Rosa do Tocantins,"4,846",,,,,,
TO,17,19004,Santa Tereza do Tocantins,"2,897",,,,,,
TO,17,20002,Santa Terezinha do Tocantins,"2,530",,,,,,
TO,17,20101,São Bento do Tocantins,"5,391",,,,,,
TO,17,20150,São Félix do Tocantins,"1,598",,,,,,
TO,17,20200,São Miguel do Tocantins,"12,294",,,,,,
TO,17,20259,São Salvador do Tocantins,"3,094",,,,,,
TO,17,20309,São Sebastião do Tocantins,"4,852",,,,,,
TO,17,20499,São Valério,"3,904",,,,,,
TO,17,20655,Silvanópolis,"5,428",,,,,,
TO,17,20804,Sítio Novo do Tocantins,"8,997",,,,,,
TO,17,20853,Sucupira,"1,986",,,,,,
TO,17,20903,Taguatinga,"16,825",,,,,,
TO,17,20937,Taipas do Tocantins,"2,166",,,,,,
TO,17,20978,Talismã,"2,812",,,,,,
TO,17,21000,Palmas,"306,296",,,,,,
TO,17,21109,Tocantínia,"7,617",,,,,,
TO,17,21208,Tocantinópolis,"22,845",,,,,,
TO,17,21257,Tupirama,"1,922",,,,,,
TO,17,21307,Tupiratins,"2,729",,,,,,
TO,17,22081,Wanderlândia,"11,734",,,,,,
TO,17,22107,Xambioá,"11,520",,,,,,
MA,21,00055,Açailândia,"113,121",,,,,,
MA,21,00105,Afonso Cunha,"6,578",,,,,,
MA,21,00154,Água Doce do Maranhão,"12,652",,,,,,
MA,21,00204,Alcântara,"22,112",,,,,,
MA,21,00303,Aldeias Altas,"26,757",,,,,,
MA,21,00402,Altamira do Maranhão,"8,189",,,,,,
MA,21,00436,Alto Alegre do Maranhão,"27,858",,,,,,
MA,21,00477,Alto Alegre do Pindaré,"31,943",,,,,,
MA,21,00501,Alto Parnaíba,"11,212",,,,,,
MA,21,00550,Amapá do Maranhão,"7,005",,,,,,
MA,21,00600,Amarante do Maranhão,"41,729",,,,,,
MA,21,00709,Anajatuba,"26,988",,,,,,
MA,21,00808,Anapurus,"15,894",,,,,,
MA,21,00832,Apicum-Açu,"17,413",,,,,,
MA,21,00873,Araguanã,"15,551",,,,,,
MA,21,00907,Araioses,"46,771",,,,,,
MA,21,00956,Arame,"32,764",,,,,,
MA,21,01004,Arari,"29,932",,,,,,
MA,21,01103,Axixá,"12,183",,,,,,
MA,21,01202,Bacabal,"104,790",,,,,,
MA,21,01251,Bacabeira,"17,252",,,,,,
MA,21,01301,Bacuri,"18,654",,,,,,
MA,21,01350,Bacurituba,"5,670",,,,,,
MA,21,01400,Balsas,"95,929",,,,,,
MA,21,01509,Barão de Grajaú,"18,924",,,,,,
MA,21,01608,Barra do Corda,"88,492",,,,,,
MA,21,01707,Barreirinhas,"63,217",,,,,,
MA,21,01731,Belágua,"7,528",,,,,,
MA,21,01772,Bela Vista do Maranhão,"11,279",,,,,,
MA,21,01806,Benedito Leite,"5,638",,,,,,
MA,21,01905,Bequimão,"21,299",,,,,,
MA,21,01939,Bernardo do Mearim,"6,073",,,,,,
MA,21,01970,Boa Vista do Gurupi,"8,382",,,,,,
MA,21,02002,Bom Jardim,"41,822",,,,,,
MA,21,02036,Bom Jesus das Selvas,"34,567",,,,,,
MA,21,02077,Bom Lugar,"16,438",,,,,,
MA,21,02101,Brejo,"36,651",,,,,,
MA,21,02150,Brejo de Areia,"9,014",,,,,,
MA,21,02200,Buriti,"28,798",,,,,,
MA,21,02309,Buriti Bravo,"23,939",,,,,,
